char	codepoint	low_byte	ascii_if_printable
一	U+4E00	0x00	
丁	U+4E01	0x01	
丂	U+4E02	0x02	
七	U+4E03	0x03	
丄	U+4E04	0x04	
丅	U+4E05	0x05	
丆	U+4E06	0x06	
万	U+4E07	0x07	
丈	U+4E08	0x08	
三	U+4E09	0x09	
上	U+4E0A	0x0A	
下	U+4E0B	0x0B	
丌	U+4E0C	0x0C	
不	U+4E0D	0x0D	
与	U+4E0E	0x0E	
丏	U+4E0F	0x0F	
丐	U+4E10	0x10	
丑	U+4E11	0x11	
丒	U+4E12	0x12	
专	U+4E13	0x13	
且	U+4E14	0x14	
丕	U+4E15	0x15	
世	U+4E16	0x16	
丗	U+4E17	0x17	
丘	U+4E18	0x18	
丙	U+4E19	0x19	
业	U+4E1A	0x1A	
丛	U+4E1B	0x1B	
东	U+4E1C	0x1C	
丝	U+4E1D	0x1D	
丞	U+4E1E	0x1E	
丟	U+4E1F	0x1F	
丠	U+4E20	0x20	 
両	U+4E21	0x21	!
